STAGE,DATASET,ROI,ROI_T,HPF,ANG,ANG_CORR,IL_ANG,DEG_IL,DEG_IL_CORR,DEG_IL_CORR-2,REGION,NOTES,,,,,,,,,,,,,,,
44,WT1,68,35,,24.341,24.341,34.315,-9.974,170.026,9.974,P,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,69,36,,-166.293,13.707,34.315,-20.608,159.392,20.608,P,,,,,,,,,,,,,,,,
44,WT1,70,36,,-108.97,71.03,34.315,36.715,36.715,143.285,P,,,,,,,,,,,,,,,,
44,WT1,71,36,,-4.399,175.601,34.315,141.286,141.286,38.714,P,,,,,,,,,,,,,,,,
44,WT1,72,33,,20.726,20.726,34.315,-13.589,166.411,13.589,IL-A,,,,,,,,,,,,,,,,
44,WT1,73,36,,-88.568,91.432,34.315,57.117,57.117,122.883,A,,,,,,,,,,,,,,,,
44,WT1,74,33,,-119.539,60.461,34.315,26.146,26.146,153.854,P,,,,,,,,,,,,,,,,
44,WT1,75,34,,-100.62,79.38,34.315,45.065,45.065,134.935,P,,,,,,,,,,,,,,,,
44,WT1,76,35,,3.9,3.9,34.315,-30.415,149.585,30.415,A,,,,,,,,,,,,,,,,
44,WT1,77,22,,-76.675,103.325,31.171,72.154,72.154,107.846,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,78,23,,-64.134,115.866,31.171,84.695,84.695,95.305,A,,,,,,,,,,,,,,,,
44,WT1,79,23,,11.821,11.821,31.171,-19.35,160.65,19.35,A,,,,,,,,,,,,,,,,
44,WT1,80,23,,-116.565,63.435,31.171,32.264,32.264,147.736,A,,,,,,,,,,,,,,,,
44,WT1,81,27,,-91.219,88.781,34.315,54.466,54.466,125.534,A,,,,,,,,,,,,,,,,
44,WT1,82,30,,-68.749,111.251,34.315,76.936,76.936,103.064,A,,,,,,,,,,,,,,,,
44,WT1,83,32,,-83.29,96.71,34.315,62.395,62.395,117.605,A,,,,,,,,,,,,,,,,
44,WT1,84,32,,-79.563,100.437,34.315,66.122,66.122,113.878,A,,,,,,,,,,,,,,,,
44,WT1,85,33,,-104.931,75.069,34.315,40.754,40.754,139.246,A,*Spindle rotated before division,,,,,,,,,,,,,,,
44,WT1,86,34,,-74.876,105.124,34.315,70.809,70.809,109.191,A,,,,,,,,,,,,,,,,
44,WT1,87,34,,-95.356,84.644,34.315,50.329,50.329,129.671,A,,,,,,,,,,,,,,,,
44,WT1,88,18,,9.819,9.819,31.171,-21.352,158.648,21.352,P,,,,,,,,,,,,,,,,
44,WT1,89,28,,-112.62,67.38,34.315,33.065,33.065,146.935,A,,,,,,,,,,,,,,,,
44,WT1,90,19,,-65.323,114.677,31.171,83.506,83.506,96.494,A,,,,,,,,,,,,,,,,
44,WT1,91,31,,-121.759,58.241,34.315,23.926,23.926,156.074,A,,,,,,,,,,,,,,,,
44,WT1,92,27,,-34.38,145.62,34.315,111.305,111.305,68.695,A,,,,,,,,,,,,,,,,
44,WT1,93,18,,-3.18,176.82,31.171,145.649,145.649,34.351,A,,,,,,,,,,,,,,,,
38,WT2,1,1,,12.529,12.529,5.87,6.659,6.659,173.341,P,,,,,,,,,,,,,,,,
38,WT2,2,2,,-154.654,25.346,5.87,19.476,19.476,160.524,A,,,,,,,,,,,,,,,,
38,WT2,3,1,,-42.51,137.49,5.87,131.62,131.62,48.38,P,,,,,,,,,,,,,,,,
38,WT2,4,3,,-99.866,80.134,5.87,74.264,74.264,105.736,P,,,,,,,,,,,,,,,,
38,WT2,5,4,,5.194,5.194,5.87,-0.676,179.324,0.676,IL-P,,,,,,,,,,,,,,,,
38,WT2,6,6,,8.746,8.746,5.87,2.876,2.876,177.124,P,,,,,,,,,,,,,,,,
38,WT2,7,3,,180,180,5.87,174.13,174.13,5.87,A,,,,,,,,,,,,,,,,
38,WT2,8,7,,-100.305,79.695,5.87,73.825,73.825,106.175,A,,,,,,,,,,,,,,,,
